STABR,FSCSKEY,FSCS_SEQ,C_FSCS,LIBID,LIBNAME,ADDRESS,CITY,ZIP,ZIP4,CNTY,PHONE,C_OUT_TY,SQ_FEET,F_SQ_FT,L_NUM_BM,HOURS,F_HOURS,WKS_OPEN,F_WKSOPN,YR_SUB,OBEREG,STATSTRU,STATNAME,STATADDR,LONGITUD,LATITUDE,CNTYPOP,LOCALE,CENTRACT,CENBLOCK,CDCODE,CBSA,MICROF,GEOSTATUS,GEOSCORE,GEOMTYPE,C19WKSCL,C19WKSLO
AK,AK0001,002,Y,AK0001-002,ANCHOR POINT PUBLIC LIBRARY,34020 NORTH FORK ROAD,ANCHOR POINT,99556,9150,KENAI PENINSULA,9072355692,CE,2880,R_22,0,1404,R_22,52,R_22,2023,08,00,00,00,-151.8315926,59.7796673,60690,43,02122000800,021220008003027,0200,-4,N,E,100,POINTADDRESS,0,0
AK,AK0002,007,Y,AK0002-007,CHUGIAK-EAGLE RIVER LIBRARY,12001 BUSINESS BOULEVARD #176,EAGLE RIVER,99577,7743,ANCHORAGE,9073431530,BR,25452,R_22,0,1510,R_22,38,R_22,2023,08,00,00,00,-149.5713885,61.3295927,287145,31,02020000201,020200002012000,0200,11260,0,E,100,SUBADDRESS,10,0
AK,AK0002,008,Y,AK0002-008,MULDOON LIBRARY,"1251 MULDOON ROAD, SUITE 158",ANCHORAGE,99504,2012,ANCHORAGE,9073434223,BR,8204,R_22,0,1500,R_22,38,R_22,2023,08,00,00,00,-149.7334126,61.210617,287145,11,02020000703,020200007035009,0200,11260,0,E,100,SUBADDRESS,10,0
AK,AK0002,010,Y,AK0002-010,SCOTT AND WESLEY GERRISH LIBRARY,250 EGLOFF DRIVE,GIRDWOOD,99587,M,ANCHORAGE,9073434024,BR,3938,R_22,0,1525,R_22,38,R_22,2023,08,00,00,00,-149.1349747,60.9601421,287145,42,02020002900,020200029002090,0200,11260,0,E,100,POINTADDRESS,10,0
AK,AK0002,011,Y,AK0002-011,Z. J. LOUSSAC LIBRARY,3600 DENALI STREET,ANCHORAGE,99503,6093,ANCHORAGE,9073432892,CE,146171,R_22,0,1544,R_22,38,R_22,2023,08,00,00,00,-149.8764562,61.1870715,287145,11,02020001900,020200019004016,0200,11260,0,E,100,POINTADDRESS,10,0
AK,AK0002,012,Y,AK0002-012,MOUNTAIN VIEW LIBRARY,120 SOUTH BRAGAW STREET,ANCHORAGE,99508,1307,ANCHORAGE,9073432819,BR,10704,R_22,0,1517,R_22,38,R_22,2023,08,00,00,00,-149.8085247,61.2226231,287145,11,02020000901,020200009012000,0200,11260,0,E,99.04,POINTADDRESS,10,0
AK,AK0003,002,Y,AK0003-002,ANDERSON COMMUNITY LIBRARY,101 FIRST STREET,ANDERSON,99744,M,DENALI,9075822628,CE,3041,R_22,0,420,R_22,40,R_22,2023,08,00,00,00,-149.1744083,64.3437494,1585,43,02068000100,020680001001011,0200,-4,N,E,99.62,STREETADDRESS,0,0
AK,AK0006,002,Y,AK0006-002,KUSKOKWIM CONSORTIUM LIBRARY,420 CHIEF EDDIE HOFFMAN HIGHWAY,BETHEL,99559,M,BETHEL,9075434516,CE,3656,R_22,0,2040,R_22,51,R_22,2023,08,00,00,00,-161.7736923,60.7905892,18257,33,02050000200,020500002002018,0200,-4,N,E,100,MANUAL,1,0
AK,AK0007,002,Y,AK0008-002,BIG LAKE PUBLIC LIBRARY,3140 SOUTH BIG LAKE ROAD,BIG LAKE,99652,M,MATANUSKA-SUSITNA,9078617636,CE,6940,R_22,0,2356,R_22,52,R_22,2023,08,00,00,00,-149.8186701,61.5477236,113325,42,02170000502,021700005021009,0200,11260,0,E,99.58,POINTADDRESS,0,0
AK,AK0008,002,Y,AK0011-002,CANTWELL COMMUNITY LIBRARY,1 SCHOOL ROAD,CANTWELL,99729,M,DENALI,9077682372,CE,812,R_22,0,720,R_22,48,R_22,2023,08,00,00,00,-148.8948017,63.3923707,1585,43,02068000100,020680001002176,0200,-4,N,E,100,MANUAL,0,0
AK,AK0011,002,N,AK0127-002,CHINIAK PUBLIC LIBRARY,43318 SPRUCE WAY,CHINIAK,99615,M,KODIAK ISLAND,9074863022,CE,1440,R_22,0,600,R_22,48,R_22,2023,08,00,00,00,-152.2335921,57.6122436,12720,43,02150000100,021500001003035,0200,-4,N,E,99.9,STREETADDRESS,0,0
AK,AK0014,002,N,AK0015-002,COLD BAY PUBLIC LIBRARY,10 BARANOV ROAD,COLD BAY,99571,M,ALEUTIANS EAST,9075322878,CE,1623,R_22,0,576,R_22,48,R_22,2023,08,00,00,00,-162.7150695,55.2065854,3398,43,02013000100,020130001001178,0200,-4,N,E,100,MANUAL,0,0
AK,AK0015,002,N,AK0016-002,COOPER LANDING COMMUNITY LIBRARY,18511 BEAN CREEK ROAD,COOPER LANDING,99572,M,KENAI PENINSULA,9075951241,CE,1320,R_22,0,600,R_22,52,R_22,2023,08,00,00,00,-149.8238238,60.493989,60690,43,02122000300,021220003001133,0200,-4,N,E,100,POINTADDRESS,0,0
AK,AK0016,002,N,AK0016-002,CORDOVA PUBLIC LIBRARY,601 FIRST STREET,CORDOVA,99574,1743,VALDEZ-CORDOVA,9074246667,CE,5652,R_22,0,2027,R_22,52,R_22,2023,08,00,00,00,-145.7584917,60.5444044,6874,43,02063000200,020630002002010,0200,-4,N,E,100,MANUAL,0,0
